"ISO_CODE","AGE_GROUP","CUTT_OF_DATA_COUNTRY","COUNTRY_NAME","AT_LEAST_ONE","COMPLETE_SCH","ADDITIONAL_1_DOSE","ADDITIONAL_2_DOSE","n","PERCENT_COMPLETE","PERCENT_ONE","PERCENT_ADDITIONAL_1","PERCENT_ADDITIONAL_2"
"BHS","<18",2022-04-15,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-04-15,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-04-15,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-04-08,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-04-08,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-04-08,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-04-01,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-04-01,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-04-01,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-03-25,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-03-25,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-03-25,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-03-18,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-03-18,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-03-18,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-03-11,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-03-11,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-03-11,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-03-04,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-03-04,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-03-04,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-02-25,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-02-25,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-02-25,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-02-18,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-02-18,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-02-18,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-02-11,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-02-11,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-02-11,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-02-04,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-02-04,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-02-04,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-01-28,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-01-28,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-01-28,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-01-21,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-01-21,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-01-21,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-01-14,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-01-14,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-01-14,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-01-07,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-01-07,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-01-07,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-12-31,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-12-31,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-12-31,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-12-24,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-12-24,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-12-24,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-12-17,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-12-17,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-12-17,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-12-10,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-12-10,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-12-10,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-12-03,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-12-03,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-12-03,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-11-26,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-11-26,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-11-26,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-11-19,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-11-19,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-11-19,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-11-12,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-11-12,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-11-12,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-11-05,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-11-05,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-11-05,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-10-29,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-10-29,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-10-29,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-10-22,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-10-22,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-10-22,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-10-15,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-10-15,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-10-15,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-10-08,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-10-08,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-10-08,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-10-01,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-10-01,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-10-01,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-09-24,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-09-24,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-09-24,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-09-17,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-09-17,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-09-17,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-09-10,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-09-10,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-09-10,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-09-03,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-09-03,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-09-03,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-08-27,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-08-27,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-08-27,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-08-20,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-08-20,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2021-08-20,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2021-08-13,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2021-08-13,"BAHAMAS",0,0,0,0,242514,0,0,0,0
